Week,SearchTrends,Quarterly Revenue (Billions),Closing Price,SMP Close,article_count,comp_sentiment,pos_ratio,neg_ratio
2022-01-21,46,8.1,96.31,4356.4501953125,3.0,0.3680666666666667,0.1086666666666666,0.018
2022-01-28,43,8.1,97.21,4546.5400390625,1.0,0.8885,0.296,0.0
2022-02-04,46,8.1,95.0,4521.5400390625,1.0,0.4404,0.097,0.0
2022-02-11,45,8.1,93.73,4471.06982421875,4.0,0.1402,0.1139999999999999,0.0645
2022-02-18,43,8.1,93.34,4304.759765625,,,,
2022-02-25,44,8.1,92.58,4306.259765625,2.0,0.0,0.0,0.0
2022-03-04,46,8.1,90.03,4170.7001953125,2.0,0.3062,0.0715,0.0165
2022-03-11,45,8.1,82.73,4262.4501953125,3.0,-0.2149333333333333,0.0260086695565188,0.0783594531510503
2022-03-18,46,8.1,89.6,4511.60986328125,2.0,-0.1737999999999999,0.0,0.0569999999999999
2022-03-25,45,8.1,87.45,4631.60009765625,1.0,0.0,0.0,0.0
2022-04-01,42,8.1,91.49,4525.1201171875,,,,
2022-04-08,44,8.1,81.52,4397.4501953125,2.0,0.29285,0.1315657828914457,0.0470235117558779
2022-04-22,45,7.6,77.92,4175.2001953125,2.0,0.3359,0.1,0.0
2022-04-29,42,7.6,74.64,4175.47998046875,2.0,0.10715,0.137,0.1384999999999999
2022-05-06,44,7.6,76.52,4001.050048828125,2.0,0.6494,0.1575,0.0
2022-05-13,45,7.6,75.6,4088.85009765625,2.0,0.08895,0.1105,0.0775
2022-05-20,46,7.6,73.39,3941.47998046875,1.0,0.3818,0.085,0.0
2022-05-27,48,7.6,76.71,4132.14990234375,2.0,-0.43895,0.0,0.1545
2022-06-03,48,7.6,79.05,4160.68017578125,,,,
2022-06-10,49,7.6,75.67,3735.47998046875,2.0,0.21075,0.0335,0.0
2022-06-17,46,7.6,71.87,3764.7900390625,1.0,-0.2023,0.029029029029029,0.047047047047047
2022-06-24,50,7.6,78.11,3821.550048828125,3.0,0.0971,0.0756666666666666,0.0623333333333333
2022-07-01,47,7.6,79.26,3831.389892578125,1.0,0.0,0.0,0.0
2022-07-08,50,7.6,79.28,3818.800048828125,,,,
2022-07-15,52,8.2,79.62,3936.68994140625,,,,
2022-07-22,51,8.2,83.59,3921.050048828125,,,,
2022-07-29,49,8.2,84.78,4091.18994140625,,,,
2022-08-05,47,8.2,85.73,4122.47021484375,1.0,0.6597,0.144,0.048
2022-08-12,47,8.2,88.31,4305.2001953125,,,,
2022-08-19,47,8.2,86.92,4128.72998046875,2.0,-0.60195,0.0,0.1425
2022-08-26,52,8.2,84.06,3986.159912109375,2.0,-0.10705,0.087,0.05
2022-09-02,53,8.2,82.94,3908.18994140625,2.0,0.10185,0.089,0.0695
2022-09-09,50,8.2,88.69,3932.68994140625,2.0,-0.3434,0.0,0.0655
2022-09-16,48,8.2,91.31,3855.929931640625,2.0,-0.17045,0.0355,0.0785
2022-09-23,46,8.2,84.17,3647.2900390625,,,,
2022-09-30,46,8.2,84.26,3790.929931640625,,,,
2022-10-07,44,8.2,87.03,3588.840087890625,,,,
2022-10-14,46,8.4,86.37,3719.97998046875,,,,
2022-10-21,45,8.4,88.61,3859.110107421875,,,,
2022-10-28,42,8.4,87.1,3856.10009765625,1.0,-0.3612,0.0,0.068
2022-11-04,55,8.4,91.86,3828.110107421875,,,,
2022-11-11,50,8.4,97.38,3991.72998046875,,,,
2022-11-18,62,8.4,97.95,4003.580078125,1.0,0.4939,0.236,0.135
2022-11-25,60,8.4,99.56,3957.6298828125,,,,
2022-12-02,44,8.4,105.05,3941.260009765625,,,,
2022-12-09,47,8.4,101.79,4019.64990234375,,,,
2022-12-16,49,8.4,98.83,3821.6201171875,1.0,0.4767,0.097,0.0
2022-12-23,55,8.4,98.27,3829.25,2.0,-0.7307,0.035,0.252
2022-12-30,70,8.4,99.2,3824.139892578125,,,,
2023-01-06,48,8.4,106.69,3919.25,,,,
2023-01-13,42,8.7,107.23,3990.969970703125,,,,
2023-01-20,42,8.7,105.04,4016.949951171875,,,,
2023-01-27,40,8.7,109.02,4076.60009765625,,,,
2023-02-03,41,8.7,104.3,4164.0,,,,
2023-02-10,41,8.7,107.09,4136.1298828125,,,,
2023-02-17,43,8.7,107.1,3997.340087890625,,,,
2023-02-24,46,8.7,101.6,3970.14990234375,4.0,-0.034625,0.05975,0.0675
2023-03-03,40,8.7,104.55,3986.3701171875,3.0,0.0861666666666666,0.0976666666666666,0.1169999999999999
2023-03-10,44,8.7,99.38,3919.2900390625,1.0,0.0,0.0,0.0
2023-03-17,45,8.7,98.7,4002.8701171875,,,,
2023-03-24,44,8.7,98.34,3971.27001953125,,,,
2023-03-31,48,8.7,104.13,4100.60009765625,2.0,0.3611499999999999,0.0984507746126936,0.0284857571214392
2023-04-14,49,8.7,107.47,4154.8701171875,,,,
2023-04-21,44,8.7,108.19,4071.6298828125,,,,
2023-04-28,44,8.7,114.29,4119.580078125,,,,
2023-05-05,44,8.7,107.21,4119.169921875,,,,
2023-05-12,48,8.7,106.12,4109.89990234375,,,,
2023-05-19,47,8.7,105.51,4145.580078125,,,,
2023-05-26,45,8.7,98.53,4205.52001953125,1.0,-0.0516,0.144,0.175
2023-06-02,51,8.7,99.5,4283.85009765625,,,,
2023-06-09,43,8.7,97.96,4369.009765625,,,,
2023-06-16,47,8.7,101.87,4388.7099609375,2.0,-0.0864499999999999,0.1485,0.1949999999999999
2023-06-23,47,8.7,98.34,4378.41015625,1.0,0.34,0.107,0.0
2023-06-30,47,8.7,99.06,4455.58984375,2.0,0.0571499999999999,0.125,0.099
2023-07-07,50,8.7,96.05,4439.259765625,,,,
2023-07-14,44,9.2,101.61,4554.97998046875,,,,
2023-07-21,46,9.2,102.82,4567.4599609375,,,,
2023-07-28,48,9.2,101.25,4576.72998046875,1.0,-0.8979,0.0,0.398
2023-08-04,48,9.2,100.68,4499.3798828125,,,,
2023-08-11,46,9.2,100.99,4437.85986328125,,,,
2023-08-18,48,9.2,97.23,4387.5498046875,,,,
2023-08-25,53,9.2,95.48,4497.6298828125,,,,
2023-09-01,52,9.2,98.0,4496.830078125,1.0,0.0,0.0,0.0
2023-09-08,55,9.2,95.28,4461.89990234375,,,,
2023-09-15,51,9.2,96.23,4443.9501953125,,,,
2023-09-22,51,9.2,93.68,4273.52978515625,,,,
2023-09-29,53,9.2,91.27,4229.4501953125,1.0,-0.1232,0.0,0.052
2023-10-06,47,9.2,92.85,4358.240234375,,,,
2023-10-13,49,9.4,91.48,4373.2001953125,,,,
2023-10-20,51,9.4,94.19,4247.68017578125,,,,
2023-10-27,50,9.4,92.02,4193.7998046875,,,,
2023-11-03,60,9.4,102.65,4378.3798828125,,,,
2023-11-10,61,9.4,104.33,4495.7001953125,,,,
2023-11-17,66,9.4,105.57,4538.18994140625,1.0,-0.0516,0.08,0.087
2023-11-24,62,9.4,102.78,4554.89013671875,,,,
2023-12-01,47,9.4,99.2,4567.18017578125,,,,
2023-12-08,50,9.4,96.61,4643.7001953125,,,,
2023-12-15,53,9.4,96.75,4768.3701171875,2.0,-0.0604,0.0425,0.0595
2023-12-22,56,9.4,95.28,4774.75,,,,
2023-12-29,74,9.4,96.01,4742.830078125,,,,
2024-01-05,67,9.4,92.99,4756.5,,,,
2024-01-12,46,9.4,91.98,4765.97998046875,1.0,-0.0258,0.125,0.127
2024-01-19,41,9.4,93.86,4864.60009765625,1.0,-0.1027,0.098,0.137
2024-01-26,42,9.4,92.8,4924.97021484375,,,,
2024-02-02,41,9.4,92.99,4954.22998046875,,,,
2024-02-09,40,9.4,97.3,4953.169921875,,,,
2024-02-16,38,9.4,93.22,4975.509765625,,,,
